       MD      Carbon(%)    ASH(%)       H2O(%)       BUMO(Gpa)    SHMO(Gpa)    STRN(Gpa)    POIS         VELP(KM/S)   VELS(KM/S)   LLV(mV)
       0       900000       900000       900000       900000       900000       900000       900000       900000       900000       900000
    0.05       900000       900000       900000       900000       900000       900000       900000       900000       900000       900000
     0.1       900000       900000       900000       900000       900000       900000       900000       900000       900000       900000
    0.15       900000       900000       900000       900000       900000       900000       900000       900000       900000       900000
     0.2       900000       900000       900000       900000       900000       900000       900000       900000       900000       900000
    0.25       900000       900000       900000       900000       900000       900000       900000       900000       900000       900000
     0.3       900000       900000       900000       900000       900000       900000       900000       900000       900000       900000
    0.35       900000       900000       900000       900000       900000       900000       900000       900000       900000       900000
     0.4       900000       900000       900000       900000       900000       900000       900000       900000       900000       900000
    0.45       900000       900000       900000       900000       900000       900000       900000       900000       900000       900000
     0.5       900000       900000       900000       900000       900000       900000       900000       900000       900000       900000
    0.55       900000       900000       900000       900000       900000       900000       900000       900000       900000       900000
     0.6       900000       900000       900000       900000       900000       900000       900000       900000       900000       900000
    0.65       900000       900000       900000       900000       900000       900000       900000       900000       900000       900000
     0.7       900000       900000       900000       900000       900000       900000       900000       900000       900000       900000
    0.75       900000       900000       900000       900000       900000       900000       900000       900000       900000       900000
     0.8       900000       900000       900000       900000       900000       900000       900000       900000       900000       900000
    0.85       900000       900000       900000       900000       900000       900000       900000       900000       900000       900000
     0.9       900000       900000       900000       900000       900000       900000       900000       900000       900000       900000
    0.95       900000       900000       900000       900000       900000       900000       900000       900000       900000       900000
       1       900000       900000       900000       900000       900000       900000       900000       900000       900000       900000
    1.05       900000       900000       900000       900000       900000       900000       900000       2.1505       900000       900000
     1.1       900000       900000       900000       900000       900000       900000       900000       2.1186       900000       900000
    1.15       900000       900000       900000       900000       900000       900000       900000       2.1142       900000       900000
     1.2       900000       900000       900000       900000       900000       900000       900000       2.1231       900000       900000
    1.25       900000       900000       900000       900000       900000       900000       900000       2.1368       900000       900000
     1.3       900000       900000       900000       900000       900000       900000       900000       2.1322       900000       900000
    1.35       900000       900000       900000       900000       900000       900000       900000       2.1186       900000       900000
     1.4       900000       900000       900000       900000       900000       900000       900000       2.1368       900000       900000
    1.45       900000       900000       900000       900000       900000       900000       900000       2.1645       900000       900000
     1.5       900000       900000       900000       900000       900000       900000       900000       2.2026       900000       900000
    1.55       900000       900000       900000       900000       900000       900000       900000       2.2272       900000       900000
     1.6       900000       900000       900000       900000       900000       900000       900000       2.2272       900000       900000
    1.65       900000       900000       900000       900000       900000       900000       900000       2.3753       900000       900000
     1.7       900000       900000       900000       900000       900000       900000       900000       2.5316       900000       900000
    1.75       900000       900000       900000       900000       900000       900000       900000       2.5253       900000       900000
     1.8       900000       900000       900000       900000       900000       900000       900000       2.5253       900000       900000
    1.85       900000       900000       900000       900000       900000       900000       900000       2.2026       900000       900000
     1.9       900000       900000       900000       900000       900000       900000       900000       2.1786       900000       900000
    1.95       900000       900000       900000       900000       900000       900000       900000       2.1739       900000       900000
       2       900000       900000       900000       900000       900000       900000       900000       2.1786       900000       900000
    2.05       900000       900000       900000       900000       900000       900000       900000       2.1739       900000       900000
     2.1       900000       900000       900000       900000       900000       900000       900000       2.1692       900000       900000
    2.15       900000       900000       900000       900000       900000       900000       900000       2.1277       900000       900000
     2.2       900000       900000       900000       900000       900000       900000       900000       2.1097       900000       900000
    2.25       900000       900000       900000       6.4492       0.9819       7.7584       0.4276       2.1186       0.7537         3169
     2.3       900000       900000       900000       6.2676       0.9909       7.5888       0.4249       2.0833       0.7528         3157
    2.35       900000       900000       900000       6.2169       0.9844       7.5294       0.4248       2.0747       0.7502         3149
     2.4       900000       900000       900000       6.0726       1.0008        7.407       0.4219        2.045       0.7517         3146
    2.45       900000       900000       900000       6.2459       1.1243       7.7449       0.4151       2.0619       0.7856         3142
     2.5       900000       900000       900000       6.1912       1.0429       7.5817       0.4203       2.0619       0.7647         3128
    2.55       900000       900000       900000       6.1895       1.0087       7.5344       0.4227       2.0661        0.756         3116
     2.6       900000       900000       900000       6.3126        1.053       7.7166        0.421       2.0833       0.7696         3113
    2.65       900000       900000       900000       6.6114       1.1019       8.0806       0.4211       2.1322       0.7874         3117
     2.7       900000       900000       900000       6.6292       1.0917       8.0848       0.4219       2.1368       0.7852         3116
    2.75       900000       900000       900000       6.6411       1.0735       8.0724       0.4233       2.1413       0.7809         3118
     2.8       900000       900000       900000       6.4152       1.0321       7.7912       0.4237       2.1053       0.7662         3126
    2.85       900000       900000       900000       6.4452       1.0404       7.8324       0.4234       2.1097       0.7689         3140
     2.9       900000       900000       900000       6.4951       1.0427       7.8854       0.4238       2.1186       0.7704         3141
    2.95       900000       900000       900000       6.4005       1.0122         7.75       0.4249       2.1053       0.7608         3137
       3       900000       900000       900000       6.3128       0.9894        7.632       0.4255       2.0921       0.7533         3135
    3.05       900000       900000       900000       6.0515       0.9424        7.308        0.426       2.0492       0.7359         3142
     3.1       900000       900000       900000       5.9736       0.9254       7.2075       0.4263       2.0367       0.7298         3145
    3.15       900000       900000       900000       5.9153       0.9049       7.1218       0.4272       2.0284        0.723         3159
     3.2       900000       900000       900000         5.84       0.8889       7.0251       0.4276       2.0161       0.7171         3154
    3.25       900000       900000       900000       5.7194       0.8653       6.8731        0.428        1.996       0.7082         3026
     3.3       900000       900000       900000       5.7275       0.8758       6.8952       0.4273        1.996       0.7113         2606
    3.35       900000       900000       900000       5.8241       0.9224        7.054       0.4248        2.008       0.7261         2511
     3.4       900000       900000       900000       6.0251       0.9953       7.3522       0.4217       2.0367       0.7494         3066
    3.45       900000       900000       900000       6.1507       1.0491       7.5495       0.4193       2.0534       0.7655         3204
     3.5       900000       900000       900000        6.377       1.1126       7.8605       0.4176       2.0877       0.7854         3204
    3.55       900000       900000       900000       6.4522       1.1546       7.9916       0.4156       2.0964       0.7969         3201
     3.6       900000       900000       900000       6.4292       1.1932       8.0201       0.4126       2.0877       0.8052         3170
    3.65       900000       900000       900000       6.2415       1.1896       7.8276       0.4104       2.0534       0.8005         3163
     3.7       900000       900000       900000       6.1249       1.1814       7.7002       0.4094       2.0325       0.7961         3166
    3.75       900000       900000       900000       6.1636       1.1723       7.7267       0.4106       2.0408       0.7949         3172
     3.8       900000       900000       900000       6.3679       1.1707       7.9289       0.4134        2.079       0.7989         3184
    3.85       900000       900000       900000       6.5597        1.171       8.1211       0.4158       2.1142       0.8028         3220
     3.9       900000       900000       900000       6.6943       1.1867       8.2765       0.4163       2.1368       0.8091         3257
    3.95       900000       900000       900000       6.4791       1.1591       8.0245       0.4156       2.1008       0.7984         3248
       4       900000       900000       900000       6.1935       1.1131       7.6776       0.4152       2.0534       0.7819         3232
    4.05       900000       900000       900000       5.9418       1.0612       7.3567       0.4157       2.0121       0.7642         3201
     4.1       900000       900000       900000       5.8496       1.0479       7.2468       0.4155        1.996        0.759         3176
    4.15       900000       900000       900000       5.8285        1.047       7.2245       0.4153        1.992       0.7583         3185
     4.2       900000       900000       900000       6.0208       1.0843       7.4666       0.4151       2.0243       0.7714         3177
    4.25       900000       900000       900000       6.1282       1.1156       7.6157       0.4142       2.0408       0.7811         3171
     4.3       900000       900000       900000        6.289       1.1559       7.8302       0.4134       2.0661       0.7938         3164
    4.35       900000       900000       900000       6.2544       1.1374       7.7709       0.4143       2.0619       0.7888         3164
     4.4       900000       900000       900000       8.2228       1.4436      10.1476       0.4171       2.3697       0.8938         3166
    4.45       900000       900000       900000       7.9514       1.3411       9.7394       0.4202       2.3364        0.867         3150
     4.5       900000       900000       900000       7.7038       1.2629       9.3876       0.4223       2.3041       0.8451         3137
    4.55       900000       900000       900000       5.8538       0.9345       7.0998       0.4242       2.0121         0.73         3138
     4.6       900000       900000       900000       6.1031       0.9523       7.3728       0.4258       2.0576       0.7395         3140
    4.65       900000       900000       900000       6.1974       0.9584       7.4752       0.4265       2.0747       0.7429         3131
     4.7       900000       900000       900000       6.1601       0.9394       7.4126       0.4274       2.0704        0.737         3115
    4.75       900000       900000       900000       6.0687       0.9078       7.2792       0.4288       2.0576       0.7267         3097
     4.8       900000       900000       900000       6.0325       0.8899       7.2191       0.4297       2.0534        0.721         3090
    4.85       900000       900000       900000       5.9631       0.8844       7.1422       0.4293       2.0408       0.7181         3088
     4.9       900000       900000       900000       5.9087       0.8965        7.104       0.4278       2.0284       0.7206         3101
    4.95       900000       900000       900000       5.8782       0.9114       7.0934       0.4263       2.0202       0.7242         3114
       5       900000       900000       900000       5.9153       0.9327       7.1589       0.4251       2.0243       0.7307         3106
    5.05       900000       900000       900000       5.9546       0.9571       7.2308       0.4237       2.0284        0.738         3097
     5.1       900000       900000       900000       5.8882       0.9531        7.159       0.4232       2.0161       0.7356         3080
    5.15       900000       900000       900000       5.8706       0.9575       7.1473       0.4227       2.0121       0.7365         3079
     5.2       900000       900000       900000       5.9034       0.9741       7.2021       0.4218       2.0161       0.7415         3075
    5.25       900000       900000       900000       6.0892       1.0244       7.4551       0.4204        2.045        0.758         3074
     5.3       900000       900000       900000       6.0596       1.0448       7.4526       0.4185       2.0367       0.7626         3064
    5.35       900000       900000       900000       6.1209       1.0707       7.5485       0.4174        2.045       0.7702         3054
     5.4       900000       900000       900000       5.9548       1.0489       7.3533       0.4168       2.0161       0.7614         3046
    5.45       900000       900000       900000       6.0339       1.0713       7.4623       0.4162       2.0284       0.7685         3039
     5.5       900000       900000       900000       6.0932       1.0954       7.5537       0.4152       2.0367       0.7756         3039
    5.55       900000       900000       900000       6.2606       1.1471       7.7901       0.4137       2.0619       0.7912         3036
     5.6       900000       900000       900000       6.2723       1.1657       7.8265       0.4125       2.0619       0.7957         3044
    5.65       900000       900000       900000       6.3208       1.2071       7.9302       0.4102       2.0661       0.8061         3056
     5.7       900000       900000       900000       6.2859       1.2255       7.9199       0.4085       2.0576       0.8094         3043
    5.75       900000       900000       900000       6.3444       1.2466       8.0066       0.4078       2.0661       0.8153         3041
     5.8       900000       900000       900000       6.2221       1.2328       7.8657       0.4071        2.045       0.8096         3036
    5.85       900000       900000       900000       6.0467       1.1966       7.6421       0.4072       2.0161       0.7978         3034
     5.9       900000       900000       900000       5.8811       1.1661       7.4359        0.407       1.9881       0.7873         3037
    5.95       900000       900000       900000       5.7509        1.152        7.287       0.4061       1.9646       0.7812         3032
       6       900000       900000       900000       5.6927       1.1542       7.2316        0.405       1.9531       0.7803         3033
    6.05       900000       900000       900000       5.7237       1.1742       7.2893        0.404       1.9569       0.7854         3025
     6.1       900000       900000       900000       5.7851       1.1767       7.3541       0.4048       1.9685       0.7874         3015
    6.15       900000       900000       900000       6.0885       1.2315       7.7306       0.4053       2.0202       0.8063         3007
     6.2       900000       900000       900000       6.2107        1.252         7.88       0.4056       2.0408       0.8135         3001
    6.25       900000       900000       900000       6.2111       1.2528       7.8816       0.4055       2.0408       0.8137         2995
     6.3       900000       900000       900000        5.814       1.1923       7.4037        0.404       1.9724       0.7915         3000
    6.35       900000       900000       900000       5.8688       1.2173       7.4919        0.403       1.9802       0.7982         3014
     6.4       900000       900000       900000       5.9195        1.234       7.5648       0.4025       1.9881        0.803         3047
    6.45       900000       900000       900000       6.2459       1.3153       7.9996       0.4016       2.0408       0.8275         3035
     6.5       900000       900000       900000       6.1615       1.3246       7.9276       0.3997       2.0243       0.8275         3029
    6.55       900000       900000       900000       6.2095       1.3743       8.0419       0.3969       2.0284       0.8385         3020
     6.6       900000       900000       900000       6.0329       1.3707       7.8605       0.3944        1.996       0.8335         3018
    6.65       900000       900000       900000       5.8873       1.3733       7.7183       0.3918       1.9685       0.8303         3006
     6.7       900000       900000       900000       5.7457        1.373       7.5764       0.3893       1.9417       0.8266         3005
    6.75       900000       900000       900000       5.7212        1.406       7.5959       0.3864       1.9342       0.8322         3003
     6.8       900000       900000       900000       5.6521       1.4264       7.5539       0.3836       1.9194       0.8341         2996
    6.85       900000       900000       900000       5.5622       1.4394       7.4815       0.3809       1.9011       0.8339         2996
     6.9       900000       900000       900000       5.8141         1.53       7.8541        0.379       1.9417        0.857         3002
    6.95       900000       900000       900000       6.0795       1.6192       8.2384       0.3777       1.9841       0.8796         3009
       7       900000       900000       900000       6.3881       1.7203       8.6818       0.3764       2.0325       0.9048         3006
    7.05       900000       900000       900000        6.292       1.7091       8.5707       0.3755       2.0161       0.9003         3006
     7.1       900000       900000       900000       6.1001       1.6715       8.3289       0.3745       1.9841       0.8889         2998
    7.15       900000       900000       900000        5.887       1.6108       8.0347       0.3746       1.9493       0.8728         3001
     7.2       900000       900000       900000       5.8772       1.5859       7.9917       0.3762       1.9493       0.8684         3004
