         MD LLA(mA)   LLS(ohm*m)  MSFL(ohm*m)    LLD(ohm*m)  AR(ohm*m)   devi(deg)   Azi(deg)    GR(API)     GPA(pA/kg)  SP(mV)
           0    900000      900000         900000      900000      900000      900000      900000      900000      900000      900000
        0.05    900000      900000         900000      900000      900000      900000      900000      900000      900000      900000
         0.1    900000      900000         900000      900000      900000      900000      900000      900000      900000      900000
        0.15    900000      900000         900000      900000      900000      900000      900000      900000      900000      900000
         0.2    900000      900000         900000      900000      900000      900000      900000      900000      900000      900000
        0.25    900000      900000         900000      900000      900000      900000      900000      900000      900000       -2918
         0.3    900000      900000         900000      900000      900000      900000      900000      900000      900000       -2918
        0.35    900000      900000         900000      900000      900000      900000      900000      900000      900000       -2918
         0.4    900000      900000         900000      900000      900000      900000      900000      900000      900000       -2918
        0.45    900000      900000         900000      900000      900000      900000      900000      900000      900000       -2918
         0.5    900000      900000         900000      900000      900000           0           0      900000      900000       -2918
        0.55    900000      900000         900000      900000      900000           0           0      900000      900000       -2918
         0.6    900000      900000         900000      900000      900000           0           0      900000      900000       -2918
        0.65    900000      900000         900000      900000      900000           0           0      900000      900000       -2918
         0.7    900000      900000         900000      900000      900000           0           0      900000      900000       -2918
        0.75    900000      900000         900000      900000      900000           0           0      900000      900000       -2918
         0.8    900000      900000         900000      900000      900000           0           0      900000      900000       -2918
        0.85    900000      900000         900000      900000      900000           0           0      900000      900000       -2918
         0.9    900000      900000         900000      900000      900000           0           0      900000      900000       -2918
        0.95    900000      900000         900000      900000      900000           0           0      900000      900000       -2918
           1    900000      900000         900000      900000      900000        0.12       132.8      900000      900000       -2918
        1.05    900000      900000         900000      900000      900000        0.12       135.7      900000      900000       -2918
         1.1    900000      900000         900000      900000      900000        0.13       127.5      900000      900000       -2918
        1.15    900000      900000         900000      900000      900000        0.16       108.6      900000      900000       -2918
         1.2    900000      900000         900000      900000      900000        0.22        82.2      900000      900000       -2918
        1.25    900000      900000         900000      900000      900000        0.27        70.4      900000      900000       -2918
         1.3    900000      900000         900000      900000      900000        0.36        82.5      900000      900000       -2918
        1.35    900000      900000         900000      900000      900000        0.42        77.8      900000      900000       -2918
         1.4    900000      900000         900000      900000      900000        0.46        66.7      900000      900000       -2918
        1.45    900000      900000         900000      900000      900000        0.51        57.6      900000      900000       -2918
         1.5    900000      900000         900000      900000      900000        0.51        63.6      900000      900000       -2918
        1.55    900000      900000         900000      900000      900000        0.49        64.2      900000      900000       -2918
         1.6    900000      900000         900000      900000      900000         0.5        76.7      900000      900000       -2918
        1.65    900000      900000         900000      900000      900000        0.45        65.2      900000      900000       -2918
         1.7    900000      900000         900000      900000      900000         0.4        54.1      900000      900000       -2918
        1.75    900000      900000         900000      900000      900000        0.39        54.9      900000      900000       -2918
         1.8    900000      900000         900000      900000      900000        0.36       107.2      900000      900000       -2918
        1.85    900000      900000         900000      900000      900000        0.33       105.7      900000      900000       -2918
         1.9    900000      900000         900000      900000      900000        0.31          99      900000      900000       -2918
        1.95    900000      900000         900000      900000      900000         0.3          97      900000      900000       -2918
           2    900000      900000         900000      900000      900000        0.32       101.5      900000      900000       -2918
        2.05    900000      900000         900000      900000      900000        0.33       118.3      900000      900000       -2918
         2.1    900000      900000         900000      900000      900000        0.32       117.9      900000      900000       -2918
        2.15    900000      900000         900000      900000      900000        0.31        94.4      900000      900000        -135
         2.2    900000      900000         900000      900000      900000        0.31        85.3      900000      900000        -147
        2.25        32        9890        99.0313    9903.125      3.9958        0.32        72.9        48.5      0.8196        -149
         2.3        32        9630        98.6563    9865.625      3.9941        0.28        44.5          49      0.8281        -147
        2.35        34        9255        92.6176   9261.7646      3.9667        0.25        39.1          50       0.845        -147
         2.4        34        9527        92.5294   9252.9414      3.9663        0.19        34.9        48.5      0.8196        -146
        2.45        32        9505        98.1875     9818.75      3.9921        0.19        37.7        48.5      0.8196        -145
         2.5        33        9176        94.7879   9478.7881      3.9768        0.19        45.4          50       0.845        -143
        2.55        34        9153        91.6471   9164.7061      3.9621         0.2          50        50.5      0.8534        -140
         2.6        34        9167        91.5588   9155.8818      3.9617         0.2        49.4          53      0.8957   -140.7778
        2.65        34        9589        91.6765   9167.6465      3.9623        0.21        68.6        53.5      0.9041   -140.1111
         2.7        32        9816         97.375      9737.5      3.9884        0.22        60.2     53.5556      0.9051   -139.1111
        2.75        30       10581       103.9333   10393.333      4.0168        0.23       123.7     54.3889      0.9192   -137.7778
         2.8        27       11936       115.7778  11577.7783      4.0636        0.23       160.5     54.9444      0.9286   -135.6667
        2.85        26       12084       120.7692  12076.9238       4.082        0.21       170.7     55.5556      0.9389   -132.8889
         2.9        26       12076       120.8077  12080.7695      4.0821         0.2       178.5     55.9444      0.9455        -129
        2.95        26       12057       120.6538  12065.3848      4.0815        0.19       181.3     56.4444      0.9539   -124.4443
           3        26       12067       120.5769  12057.6924      4.0813         0.2       183.1     57.0556      0.9642        -120
        3.05        26       12088       120.8462  12084.6152      4.0822        0.21       184.2        57.5      0.9717   -115.7727
         3.1        29        9801       108.4483  10844.8271      4.0352        0.22       183.7     57.8333      0.9774   -112.7524
        3.15        44        4589        71.7955   7179.5454      3.8561        0.23       139.7     58.7222      0.9924   -112.8284
         3.2       131        1105        24.0763   2407.6335      3.3816        0.22          56     59.8889      1.0121   -112.8889
        3.25       659         252         4.5918    459.1806       2.662        0.24          56     60.6111      1.0243        -113
         3.3      1527         142         1.7066    170.6614      2.2321        0.26        80.1     61.2778      1.0356   -113.1208
        3.35      1868         149         1.3442    134.4218      2.1285        0.26        53.1     61.8889      1.0459   -112.8997
         3.4      1447         656         2.1189    211.8867      2.3261        0.24        53.1          62      1.0478   -112.0217
        3.45        57       11034        56.2105   5621.0527      3.7498        0.24        51.2     61.6667      1.0422   -109.1975
         3.5        29       11060       110.4828  11048.2754      4.0433        0.24        51.6          61      1.0309   -105.1111
        3.55        30       10440          106.7       10670      4.0282        0.26        53.4     60.1111      1.0159    -98.0068
         3.6        32        9967        99.0625     9906.25      3.9959        0.27          71     58.8889      0.9952    -93.2698
        3.65        30       10731       105.4333   10543.333       4.023        0.28       129.9     57.6667      0.9746    -93.7275
         3.7        28       13905       113.0714  11307.1426      4.0534        0.28       153.7     56.8333      0.9605    -93.2222
        3.75        16       25955         198.25       19825      4.2972        0.28       149.9     55.7778      0.9426    -94.5557
         3.8        12       26652       265.3333   26533.334      4.4238        0.28       149.9     54.7222      0.9248         -97
        3.85        12       27012       268.3333   26833.334      4.4287        0.29         153          54      0.9126   -100.9082
         3.9        13       22480       250.5385  25053.8477      4.3989        0.31         165     53.6667       0.907   -103.5889
        3.95        16       19970            203       20300      4.3075        0.32       180.8     53.2222      0.8995   -103.0244
           4        19       14342       170.1053  17010.5273      4.2307        0.32         194     52.6111      0.8891   -100.6667
        4.05        27       10987       118.5556  11855.5557      4.0739        0.32       203.7     52.2778      0.8835         -99
         4.1        30       10959       105.8667   10586.667      4.0248         0.3       211.4     51.6667      0.8732    -94.2581
        4.15        29       10704       109.8276  10982.7588      4.0407         0.3       212.6     51.2778      0.8666    -85.7739
         4.2        31       10079       102.4839  10248.3867      4.0107         0.3       206.1     50.9444       0.861    -82.7493
        4.25        32        9898        99.0938    9909.375       3.996        0.32       188.3     50.6111      0.8553     -68.198
         4.3        32        9884         98.875      9887.5      3.9951        0.35       169.7     50.5556      0.8544    -52.0608
        4.35        32        9890         98.875      9887.5      3.9951        0.38       122.1     50.5556      0.8544     -35.439
         4.4        32        9802        98.9375     9893.75      3.9954        0.43        54.3     51.0556      0.8628    -31.0227
        4.45        33        9239        95.4545   9545.4541      3.9798        0.46        37.3     51.6667      0.8732    -28.9131
         4.5        34        8954        92.2647   9226.4707       3.965        0.45        36.1     51.8333       0.876     -29.969
        4.55        35        9239        89.6571   8965.7139      3.9526        0.45        36.1     52.3333      0.8844    -28.2222
         4.6        34        9090        92.3529   9235.2939      3.9655        0.46        36.1     52.6111      0.8891         -28
        4.65        35        8926        89.4571   8945.7148      3.9516        0.48        35.1     53.1111      0.8976    -29.8889
         4.7        36        8508        86.5278   8652.7783      3.9372        0.51         152     53.6667       0.907    -31.8889
        4.75        37        8530        83.7027   8370.2705      3.9227        0.56       307.7     53.8333      0.9098    -33.6667
         4.8        36        8572        85.8333    8583.334      3.9337        0.58       301.9     53.6667       0.907    -34.8889
        4.85        35        8836        88.2286   8822.8564      3.9456        0.57         299          53      0.8957    -35.8889
         4.9        36        8639        86.1389   8613.8887      3.9352        0.55       296.9     52.2222      0.8826    -35.8889
        4.95        36        8461           86.5        8650       3.937        0.53       295.8     51.3333      0.8675    -34.3333
           5        37        8388        83.9459   8394.5947       3.924         0.5       294.3     50.4444      0.8525    -33.1111
        5.05        37        8190        83.7027   8370.2705      3.9227        0.47       295.9     50.1111      0.8469    -32.6667
         5.1        40        7694             77        7700      3.8865        0.44       300.3     49.7222      0.8403    -32.8889
        5.15        40        7693         76.975      7697.5      3.8863        0.43       301.9     49.2222      0.8319    -32.8889
         5.2        40        7685         76.875      7687.5      3.8858        0.43       301.9     48.8333      0.8253    -32.6667
        5.25        40        7677          76.85        7685      3.8856        0.45       301.7     48.9444      0.8272    -32.5557
         5.3        40        7643           76.6        7660      3.8842        0.44       300.8        49.5      0.8365    -32.8889
        5.35        40        7532          76.35        7635      3.8828        0.42         297        50.5      0.8534    -33.5557
         5.4        42        7244        72.5238   7252.3813      3.8605         0.4       296.8     51.6667      0.8732         -35
        5.45        42        7235        72.3571   7235.7139      3.8595        0.39       299.4     52.7778      0.8919    -36.4443
         5.5        42        7229        72.3571   7235.7139      3.8595        0.39       300.7        53.5      0.9041         -38
        5.55        42        7319        72.2857   7228.5713      3.8591        0.39       302.4     54.1667      0.9154    -39.1111
         5.6        40        7986           76.1        7610      3.8814        0.39       225.9     54.9444      0.9286    -40.1111
        5.65        38        7869        80.4211    8042.105      3.9054        0.39       225.2     55.7222      0.9417    -41.3333
         5.7        40        7702         76.075   7607.4995      3.8812        0.39       303.1     56.3889       0.953    -42.5557
        5.75        38        8105        80.0263   8002.6313      3.9032        0.41       305.8     56.6667      0.9577    -43.2222
         5.8        36        8429        84.3333    8433.334       3.926        0.41       309.1     56.6111      0.9567    -43.5557
        5.85        36        8491        84.2778   8427.7783      3.9257        0.39       310.6     56.5556      0.9558    -43.3333
         5.9        34        9338        89.3235   8932.3535       3.951        0.39       311.3        56.5      0.9548    -42.6667
        5.95        32        9475          94.75        9475      3.9766         0.4       307.5     56.5556      0.9558    -41.4443
           6        32        9465        94.7813    9478.125      3.9767        0.41       300.9     56.3889       0.953    -40.2222
        6.05        32        9431        94.5313    9453.125      3.9756         0.4       296.1     56.0556      0.9473    -39.2222
         6.1        32        8992        94.2188    9421.875      3.9741        0.38       294.1     55.7222      0.9417    -38.7778
        6.15        35        8579        85.9143   8591.4287      3.9341        0.35       293.7     55.2778      0.9342    -38.6667
         6.2        35        8507        85.7429   8574.2861      3.9332        0.35       293.5     55.1667      0.9323    -38.6667
        6.25        36        8156        83.1944   8319.4443      3.9201        0.37       294.1     55.2222      0.9333    -38.7778
         6.3        38        7343        78.9474   7894.7363      3.8973        0.38         295     55.0556      0.9304    -38.8889
        6.35        44        7101           68.5        6850      3.8357        0.35       296.3     55.2778      0.9342    -39.1111
         6.4        41        7391        74.3171    7431.707      3.8711        0.34       295.6     55.2778      0.9342    -39.6667
        6.45        42        7217        72.2619   7226.1904      3.8589        0.35       295.4     55.5556      0.9389    -40.5557
         6.5        42        7156         72.119   7211.9048       3.858        0.36       296.7     55.8889      0.9445    -41.7778
        6.55        43        7021        70.2326   7023.2559      3.8465         0.4       295.6     56.2222      0.9502    -42.7778
         6.6        43        7000         70.186   7018.6045      3.8463        0.42       290.6        56.5      0.9548    -43.3333
        6.65        44        6834        68.3182   6831.8184      3.8345        0.42       284.6     56.4444      0.9539    -43.6667
         6.7        44        6860        68.2955   6829.5454      3.8344        0.43       274.5     56.2778      0.9511    -43.8889
        6.75        43        7147        69.8372   6983.7212      3.8441        0.43       265.3     56.1111      0.9483    -43.6667
         6.8        42        7171        71.3333   7133.3335      3.8533        0.43       260.5     55.3333      0.9351         -43
        6.85        41        7501        73.0732   7307.3174      3.8638        0.43       260.6     54.6667      0.9239         -41
         6.9        40        7608          75.05   7505.0005      3.8754        0.42       260.9     54.1111      0.9145    -37.5557
        6.95        39        7916        77.1538   7715.3848      3.8874        0.41       261.5     53.5556      0.9051    -32.8889
           7        38        7706        79.1053   7910.5264      3.8982        0.39       263.7     52.8889      0.8938    -27.8889
        7.05        39        7898        77.0769   7707.6919      3.8869        0.38       263.2     52.1667      0.8816    -23.3333
