     MD              HM(g/cm^3)             DNS(g/cm^3)                    LITH               YOMO(Gpa)                    SAND
       0                  900000                   -0.04                  900000                  900000                  900000
    0.05                  900000                   -0.04                  900000                  900000                  900000
     0.1                  900000                   -0.04                  900000                  900000                  900000
    0.15                  900000                   -0.04                  900000                  900000                  900000
     0.2                  900000                   -0.04                  900000                  900000                  900000
    0.25                  900000                   -0.04                  900000                  900000                  900000
     0.3                  900000                   -0.04                  900000                  900000                  900000
    0.35                  900000                   -0.04                  900000                  900000                  900000
     0.4                  900000                   -0.04                  900000                  900000                  900000
    0.45                  900000                   -0.04                  900000                  900000                  900000
     0.5                  900000                   -0.04                  900000                  900000                  900000
    0.55                  900000                   -0.04                  900000                  900000                  900000
     0.6                  900000                   -0.04                  900000                  900000                  900000
    0.65                  900000                   -0.04                  900000                  900000                  900000
     0.7                  900000                   -0.04                  900000                  900000                  900000
    0.75                  900000                   -0.04                  900000                  900000                  900000
     0.8                  900000                   -0.04                  900000                  900000                  900000
    0.85                  900000                   -0.04                  900000                  900000                  900000
     0.9                  900000                   -0.04                  900000                  900000                  900000
    0.95                  900000                   -0.04                  900000                  900000                  900000
       1                  900000                   -0.04                  900000                  900000                  900000
    1.05                  900000                   -0.04                  900000                  900000                  900000
     1.1                  900000                   -0.04                  900000                  900000                  900000
    1.15                  900000                   -0.04                  900000                  900000                  900000
     1.2                  900000                   -0.04                  900000                  900000                  900000
    1.25                  900000                   -0.04                  900000                  900000                  900000
     1.3                  900000                   -0.04                  900000                  900000                  900000
    1.35                  900000                   -0.04                  900000                  900000                  900000
     1.4                  900000                   -0.04                  900000                  900000                  900000
    1.45                  900000                   -0.04                  900000                  900000                  900000
     1.5                  900000                   -0.04                  900000                  900000                  900000
    1.55                  900000                   -0.04                  900000                  900000                  900000
     1.6                  900000                   -0.04                  900000                  900000                  900000
    1.65                  900000                   -0.04                  900000                  900000                  900000
     1.7                  900000                   -0.04                  900000                  900000                  900000
    1.75                  900000                   -0.04                  900000                  900000                  900000
     1.8                  900000                   -0.04                  900000                  900000                  900000
    1.85                  900000                   -0.04                  900000                  900000                  900000
     1.9                  900000                   -0.04                  900000                  900000                  900000
    1.95                  900000                   -0.04                  900000                  900000                  900000
       2                  900000                   -0.04                  900000                  900000                  900000
    2.05                  900000                   -0.04                  900000                  900000                  900000
     2.1                  900000                   -0.04                  900000                  900000                  900000
    2.15                  900000                   -0.04                  900000                  900000                  900000
     2.2                  900000                   -0.04                  900000                  900000                  900000
    2.25                  1.7685                  1.7285                  900000                  2.8034                 20.4218
     2.3                  1.7885                  1.7485                  900000                  2.8239                 21.3645
    2.35                  1.7893                  1.7493                  900000                  2.8051                 20.8876
     2.4                  1.8112                  1.7712                  900000                   2.846                 22.9962
    2.45                  1.8618                  1.8218                  900000                  3.1818                 26.0478
     2.5                  1.8234                  1.7834                  900000                  2.9624                 22.9453
    2.55                   1.805                   1.765                  900000                  2.8702                 21.5718
     2.6                  1.8179                  1.7779                  900000                  2.9925                 21.0349
    2.65                  1.8174                  1.7774                  900000                  3.1316                 20.7426
     2.7                  1.7854                  1.7708                  900000                  3.1048                 20.3129
    2.75                  1.7951                  1.7605                  900000                  3.0558                 19.2555
     2.8                  1.7904                  1.7579                  900000                  2.9386                 18.8065
    2.85                  1.8005                  1.7598                  900000                  2.9619                 18.5973
     2.9                  1.7693                  1.7567                  900000                  2.9692                 18.2105
    2.95                     1.8                  1.7486                  900000                  2.8845                 17.4571
       3                  1.8217                  1.7438                  900000                  2.8208                  16.846
    3.05                  1.7907                  1.7404                  900000                  2.6876                 16.4055
     3.1                  1.7442                  1.7376                  900000                  2.6398                 16.0623
    3.15                  1.7422                   1.731                  900000                   2.583                 15.1953
     3.2                  1.7642                  1.7283                  900000                  2.5378                 14.4211
    3.25                  1.7654                  1.7252                  900000                  2.4712                  13.852
     3.3                  1.7408                  1.7307                  900000                  2.4999                 13.8359
    3.35                  1.7454                  1.7494                  900000                  2.6285                 14.6421
     3.4                  1.7718                  1.7725                  900000                    2.83                 15.9732
    3.45                  1.8717                  1.7905                  900000                   2.978                  17.236
     3.5                  1.9591                  1.8035                  900000                  3.1544                 18.3705
    3.55                  1.9517                  1.8183                  900000                  3.2688                 19.7311
     3.6                  1.9046                  1.8401                  900000                  3.3709                 21.6885
    3.65                  1.8812                  1.8565                  900000                  3.3555                 23.3157
     3.7                  1.8987                  1.8639                  900000                  3.3302                  24.204
    3.75                  1.9371                  1.8552                  900000                  3.3071                 24.2312
     3.8                  1.8924                  1.8344                  900000                  3.3093                 23.5364
    3.85                   1.839                  1.8169                  900000                  3.3158                 22.8609
     3.9                  1.7929                  1.8128                  900000                  3.3613                 22.7853
    3.95                  1.7724                  1.8182                  900000                  3.2816                  23.345
       4                  1.7941                  1.8209                  900000                  3.1507                 23.8314
    4.05                  1.8671                  1.8172                  900000                  3.0047                 23.7826
     4.1                  1.9299                   1.819                  900000                  2.9666                 24.2113
    4.15                  1.9233                  1.8206                  900000                  2.9635                 24.5143
     4.2                  1.9036                  1.8221                  900000                  3.0688                  24.782
    4.25                  1.9084                  1.8285                  900000                  3.1553                 25.3431
     4.3                  1.8536                  1.8343                  900000                  3.2674                 25.7183
    4.35                  1.8066                  1.8279                  900000                  3.2172                 25.3352
     4.4                    1.83                  1.8071                  900000                  4.0914                 23.8192
    4.45                  1.8457                  1.7841                  900000                   3.809                 22.1106
     4.5                  1.8099                  1.7682                  900000                  3.5923                 21.0646
    4.55                  1.7428                  1.7537                  900000                  2.6619                 19.9283
     4.6                  1.7162                  1.7414                  900000                  2.7156                 19.0407
    4.65                  1.7605                  1.7367                  900000                  2.7342                 18.4915
     4.7                   1.778                  1.7293                  900000                  2.6818                 17.7542
    4.75                  1.7429                  1.7193                  900000                  2.5942                 17.0653
     4.8                  1.7639                  1.7121                  900000                  2.5447                 16.7213
    4.85                  1.7636                  1.7149                  900000                  2.5281                 17.2349
     4.9                   1.756                  1.7266                  900000                  2.5599                 18.3537
    4.95                  1.7455                  1.7381                  900000                  2.5999                 19.5112
       5                  1.7671                   1.747                  900000                  2.6584                 20.5182
    5.05                  1.8222                  1.7574                  900000                  2.7254                  21.321
     5.1                  1.8635                  1.7612                  900000                  2.7128                 21.7537
    5.15                  1.8585                  1.7654                  900000                  2.7245                 22.2717
     5.2                  1.8366                  1.7718                  900000                  2.7699                 22.8613
    5.25                   1.798                  1.7827                  900000                  2.9099                 23.4554
     5.3                  1.8016                  1.7967                  900000                  2.9641                 24.0086
    5.35                  1.8134                   1.805                  900000                  3.0351                 23.9833
     5.4                  1.8429                   1.809                  900000                  2.9721                 23.6131
    5.45                  1.8934                  1.8137                  900000                  3.0343                 23.3093
     5.5                  1.8969                  1.8211                  900000                  3.1004                 23.3731
    5.55                  1.8999                  1.8324                  900000                  3.2433                 23.7077
     5.6                  1.9004                   1.841                  900000                   3.293                 23.8145
    5.65                  1.9029                  1.8577                  900000                  3.4045                 24.4134
     5.7                  1.9003                  1.8707                  900000                  3.4522                 24.8433
    5.75                  1.8787                  1.8756                  900000                    3.51                 24.9946
     5.8                   1.964                  1.8809                  900000                  3.4692                 25.3416
    5.85                  1.9594                  1.8801                  900000                  3.3675                 25.3237
     5.9                  1.9378                  1.8814                  900000                  3.2814                 25.4294
    5.95                  1.9444                  1.8879                  900000                  3.2398                 25.7963
       6                  1.8929                  1.8957                  900000                  3.2434                 26.3538
    6.05                  1.9118                  1.9034                  900000                  3.2972                 26.9921
     6.1                   1.962                  1.8978                  900000                  3.3061                 26.8312
    6.15                  1.9705                  1.8942                  900000                  3.4612                 26.8455
     6.2                  1.9478                   1.892                  900000                  3.5196                 26.7726
    6.25                  1.9138                  1.8924                  900000                  3.5217                 26.7659
     6.3                  1.9267                  1.9031                  900000                  3.3479                  27.501
    6.35                  1.9182                  1.9106                  900000                  3.4157                 27.8366
     6.4                  1.9478                   1.914                  900000                  3.4615                 28.0386
    6.45                  1.9896                  1.9207                  900000                  3.6871                 28.2979
     6.5                  1.9794                  1.9346                  900000                  3.7081                 28.9623
    6.55                  1.9922                  1.9546                  900000                  3.8396                 29.9887
     6.6                   2.031                   1.973                  900000                  3.8227                 30.9532
    6.65                  2.0732                  1.9918                  900000                  3.8226                 32.1171
     6.7                  2.0932                  2.0094                  900000                  3.8152                 33.2666
    6.75                  2.0925                  2.0303                  900000                  3.8987                  34.611
     6.8                  2.0876                  2.0504                  900000                  3.9471                 36.2352
    6.85                  2.1063                  2.0699                  900000                  3.9754                  37.761
     6.9                  2.1772                  2.0831                  900000                  4.2198                 38.8459
    6.95                  2.1608                  2.0927                  900000                  4.4615                 39.7157
       7                  2.1677                  2.1016                  900000                  4.7357                 40.6013
    7.05                  2.1494                  2.1085                  900000                  4.7015                  41.402
     7.1                  2.1594                  2.1157                  900000                  4.5949                 42.0949
    7.15                  2.1731                  2.1145                  900000                  4.4285                 42.2874
     7.2                  2.1553                  2.1032                  900000                  4.3651                 41.7221
    7.25                  2.1518                  2.0873                  900000                  4.4482                 40.6797
     7.3                  2.0958                  2.0746                  900000                  4.4807                 39.8262
    7.35                  2.0753                  2.0643                  900000                  4.3843                 39.2347
     7.4                  2.0183                  2.0543                  900000                  4.2908                 38.5999
    7.45                  2.0533                  2.0436                  900000                  4.3673                 37.7822
     7.5                  2.0567                  2.0339                  900000                  4.5082                 36.9055
    7.55                   2.069                  2.0227                  900000                  4.3651                  35.876
     7.6                  2.0772                  2.0144                  900000                  4.2614                  34.995
    7.65                  2.0681                  2.0107                  900000                  4.1877                 34.3941
     7.7                  2.0504                  2.0128                  900000                  4.3046                 34.0827
    7.75                  2.0209                  2.0099                  900000                  4.3225                 33.3836
     7.8                  2.0424                  2.0041                  900000                  4.3951                 32.3917
    7.85                  2.0372                  1.9992                  900000                  4.1026                 31.4821
     7.9                  2.0275                  1.9941                  900000                  3.8964                 30.6752
    7.95                  2.0046                  1.9936                  900000                  3.6579                 30.0929
       8                  2.0248                  1.9925                  900000                  3.5154                 29.2065
    8.05                  2.0309                  1.9935                  900000                  3.4294                 28.3918
     8.1                   2.064                  1.9929                  900000                  3.6681                 27.5655
    8.15                  2.0403                  1.9881                  900000                  3.8781                 26.6931
     8.2                  2.0302                   1.987                  900000                  3.9183                 26.1285
    8.25                  2.0368                  1.9899                  900000                  3.7382                 26.0711
     8.3                  1.9943                  1.9955                  900000                  3.6256                 26.1697
    8.35                  2.0173                  2.0022                  900000                  3.6893                 26.2842
     8.4                  2.0309                  2.0023                  900000                  3.7911                 26.1445
    8.45                  2.0744                  2.0012                  900000                  3.8904                 26.3135
     8.5                  2.0916                   1.995                  900000                  3.7804                 26.4033
    8.55                   2.065                  1.9876                  900000                  3.7256                 26.4288
     8.6                  2.0306                  1.9837                  900000                  3.5503                 26.6309
    8.65                  1.9738                  1.9791                  900000                  3.3449                 26.8182
     8.7                  1.9708                  1.9707                  900000                  3.2314                 26.6095
    8.75                   1.959                  1.9619                  900000                  3.1887                 26.3693
     8.8                  1.9755                  1.9553                  900000                  3.2883                 26.2598
    8.85                  1.9561                  1.9562                  900000                  3.4732                 26.5514
     8.9                  1.9949                   1.964                  900000                  3.5416                 27.1371
    8.95                  2.0316                  1.9765                  900000                  6.5748                 27.9184
       9                  2.0736                  1.9881                  900000                  6.5854                 28.6805
    9.05                  2.1006                  1.9933                  900000                  6.6695                 29.0198
     9.1                  2.0861                  1.9931                  900000                  4.1162                 28.9781
    9.15                  2.0759                  1.9915                  900000                   3.675                 28.7393
     9.2                  2.0053                  1.9886                  900000                   3.469                 28.5021
    9.25                  1.9736                  1.9835                  900000                  3.4178                  28.316
     9.3                  1.9422                  1.9769                  900000                   3.322                 28.0928
    9.35                  1.9683                  1.9672                  900000                  3.3358                 27.7987
     9.4                  1.9864                  1.9538                  900000                  3.2566                 27.2835
    9.45                  2.0141                   1.944                  900000                  3.3189                 27.0163
     9.5                   2.013                   1.943                  900000                  3.3008                 27.3602
    9.55                  1.9655                  1.9543                  900000                  3.4497                 28.4815
     9.6                   1.988                  1.9634                  900000                  3.4978                 29.6456
    9.65                  1.9956                  1.9722                  900000                  4.6499                 30.7032
     9.7                  2.0756                  1.9773                  900000                  4.7268                 31.2437
    9.75                  2.0244                  1.9857                  900000                  6.6651                  31.865
     9.8                  2.0476                  1.9924                  900000                  5.5967                 32.2952
    9.85                  2.0322                  2.0051                  900000                  6.7844                 33.0638
     9.9                  2.0894                  2.0153                  900000                  4.9506                 33.5633
    9.95                  2.0729                  2.0254                  900000                  4.4367                 33.7633
      10                  2.0803                  2.0244                  900000                  8.8878                 33.2315
   10.05                    2.08                  2.0277                  900000                 24.9493                 32.9344
    10.1                  2.0865                  2.0302                  900000                 87.7008                 32.5029
   10.15                   2.066                  2.0323                  900000                 17.5515                 32.0712
    10.2                  2.0542                  2.0258                  900000                  7.1339                 31.2721
   10.25                  2.0705                  2.0184                  900000                  7.1722                  30.561
    10.3                  2.0506                  2.0115                  900000                 10.1638                 29.7696
   10.35                  2.0312                  2.0122                  900000                 47.6564                  29.487
    10.4                   2.006                  2.0065                  900000                169.9447                 29.1138
   10.45                  2.0189                  2.0078                  900000                  900000                 29.3088
    10.5                  2.0858                  2.0114                  900000                  900000                 29.7293
   10.55                  2.0352                  2.0161                  900000                  900000                 30.2512
    10.6                  2.0777                  2.0183                  900000                 45.5422                 30.9372
   10.65                  2.0865                  2.0207                  900000                 20.3084                 31.7515
    10.7                  2.1135                  2.0249                  900000                 11.5684                 32.5317
   10.75                  2.0701                  2.0222                  900000                 30.1057                 32.9558
