?rank,rid,costMoney,level,vip,nickname,clubName,combat,topHeroesCombat,online,lastOfflineTime,groupId
1, 435006_1006, 11926, 44, 13, 南宫大少, 高数, 89150, 128749, 0, 2019-12-03 22:44:12, Group_4
2, 427671_1006, 9542, 44, 12, 閣下眞鶸, 名人堂, 86031, 137784, 0, 2019-12-03 22:43:22, Group_1
3, 421718_1006, 9160, 44, 12, 红颜?怒, 高数, 86692, 128635, 1, 2019-12-03 21:45:10, Group_4
4, 430914_1006, 6440, 43, 11, 老九, 高数, 67814, 106306, 0, 2019-12-03 12:48:26, Group_4
5, 433653_1006, 5082, 44, 11, 丶总裁, 八神超玩会, 82535, 112374, 0, 2019-12-04 03:01:46, Group_3
6, 425906_1006, 3208, 41, 10, 凶残丨王者, 八神庵, 49094, 62203, 0, 2019-12-03 23:28:58, Group_3
7, 427387_1006, 3068, 30, 10, 天涯, 八神战队, 29375, 38001, 0, 2019-11-28 11:48:46, Group_2
8, 433191_1006, 3054, 34, 10, 血葬, 不知火舞, 36773, 54821, 0, 2019-11-28 13:26:12, Group_2
9, 412700_1006, 2984, 43, 10, 紧张丶香皂, 祖师殿, 65874, 97886, 0, 2019-12-04 00:25:24, Group_2
10, 421714_1006, 2730, 43, 9, 逍遥之, 高数, 68182, 97600, 0, 2019-12-04 03:33:51, Group_4
11, 430666_1006, 2668, 39, 9, 贪婪_斗士, 八神超玩会, 48482, 68724, 0, 2019-12-03 22:26:10, Group_3
12, 425421_1006, 2422, 42, 9, 暴力丨托马斯, 5, 56432, 87941, 0, 2019-12-03 21:50:20, Group_4
13, 390953_1006, 2210, 43, 8, 君少来袭, 八神超玩会, 69502, 100470, 0, 2019-12-04 01:58:07, Group_3
14, 429702_1006, 2070, 43, 8, 浪蹄子, 八神超玩会, 62131, 93199, 0, 2019-12-04 00:17:47, Group_3
15, 426022_1006, 1532, 42, 7, 柔弱_美人, 八神超玩会, 59845, 80027, 0, 2019-12-03 21:29:43, Group_3
16, 425855_1006, 1502, 44, 7, 微笑灬红人, 玉天宗, 64843, 102413, 0, 2019-12-04 01:41:54, Group_2
17, 432303_1006, 1356, 42, 7, 愤怒的凹凸曼, 高数, 55417, 81639, 0, 2019-12-04 01:03:55, Group_4
18, 429275_1006, 1252, 40, 7, 精悍X双子座, 名人堂, 41593, 59500, 0, 2019-12-04 03:09:42, Group_1
19, 418916_1006, 926, 43, 6, 酷酷的帅锅, 名人堂, 59998, 83612, 0, 2019-12-04 00:33:04, Group_1
20, 388069_1006, 920, 42, 6, 小魔王, 玉天宗, 51306, 74055, 0, 2019-12-03 23:10:05, Group_2
21, 427738_1006, 874, 42, 6, 灬楠楠, 高数, 54410, 79899, 0, 2019-12-03 09:29:32, Group_4
22, 421654_1006, 836, 43, 6, 恬淡X小强, 玉天宗, 55284, 78894, 0, 2019-12-04 02:26:54, Group_2
23, 429916_1006, 788, 36, 6, 小幻, 高数, 40379, 55969, 0, 2019-11-30 00:51:48, Group_4
24, 434687_1006, 662, 41, 5, 温和X, 玉天宗, 49901, 72492, 0, 2019-12-03 22:16:45, Group_2
25, 421433_1006, 636, 42, 5, 浪迹天涯, 不知火舞, 58282, 85579, 0, 2019-12-04 03:29:23, Group_2
26, 380821_1006, 604, 39, 5, 小无敌, 八神超玩会, 43856, 61756, 0, 2019-12-01 13:00:26, Group_3
27, 427265_1006, 574, 30, 5, 滑稽丶绘马, 冷眸, 24020, 31786, 0, 2019-11-27 10:19:29, Group_1
28, 426927_1006, 574, 34, 5, 大方的爪机党, 乐神, 29023, 40668, 0, 2019-11-30 13:48:49, Group_1
29, 422608_1006, 574, 40, 5, 恬淡之风圣, 你还是不是男, 42362, 59105, 0, 2019-12-03 22:33:26, Group_4
30, 430028_1006, 566, 40, 5, 超越_王者, 八神超玩会, 42112, 51548, 0, 2019-12-04 04:05:31, Group_3
31, 434937_1006, 546, 40, 5, 幸运X淑女, 神話, 43092, 57462, 0, 2019-12-04 02:36:41, Group_2
32, 427638_1006, 542, 42, 5, 小浩哥, 1, 46603, 70405, 0, 2019-12-03 21:52:36, Group_4
33, 414635_1006, 526, 42, 5, 静雨·书生, 哦啊, 44070, 64255, 0, 2019-12-03 23:58:23, Group_2
34, 426425_1006, 522, 26, 5, 竹青, 0, 20752, 27657, 0, 2019-11-26 22:09:59, Group_4
35, 433332_1006, 514, 41, 5, 三岁°, 高数, 52494, 70321, 0, 2019-12-03 23:20:45, Group_4
36, 431776_1006, 512, 41, 5, 堕落灬, 你还是不是男, 46567, 55807, 0, 2019-12-03 23:28:12, Group_4
37, 430716_1006, 510, 41, 5, 多情灬凹凸曼, 咔咔咔, 42768, 56900, 0, 2019-12-04 02:40:54, Group_4
38, 135979_1006, 508, 43, 5, 完美的小怪兽, 高数, 51815, 78027, 0, 2019-12-03 23:11:20, Group_4
39, 408164_1006, 508, 35, 5, 威风之红帽, 乐神, 35169, 49316, 0, 2019-11-29 15:34:07, Group_1
40, 428798_1006, 504, 42, 5, 海藍時見鯨, RAT, 48070, 69069, 0, 2019-12-03 15:12:14, Group_1
41, 424470_1006, 480, 40, 5, 元村打手, 1, 41416, 58598, 0, 2019-12-03 20:12:21, Group_4
42, 426097_1006, 478, 41, 5, 马库斯库兹马, 八神战队, 49579, 70587, 0, 2019-12-03 16:58:04, Group_2
43, 432029_1006, 476, 43, 5, 成二蛋, 八神超玩会, 53027, 81759, 0, 2019-12-03 22:39:13, Group_3
44, 420963_1006, 428, 43, 4, 小乐, 小乐乐, 57391, 85342, 0, 2019-12-04 03:44:57, Group_1
45, 428097_1006, 408, 37, 4, 惆怅灬天才, 高数, 36795, 48668, 0, 2019-12-01 06:53:51, Group_4
46, 432237_1006, 406, 42, 4, 阴暗_叉烧包, 高数, 48115, 69865, 0, 2019-12-04 01:12:39, Group_4
47, 424239_1006, 364, 42, 4, 孤独丶海盗, 八神庵, 49915, 72257, 0, 2019-12-04 00:46:20, Group_3
48, 430434_1006, 356, 41, 4, 九天琉璃, 黑夜降临, 47365, 66436, 0, 2019-12-04 01:27:18, Group_3
49, 427589_1006, 354, 39, 4, 灲亓丶, 名人堂, 43996, 64461, 0, 2019-12-02 19:42:02, Group_1
50, 434702_1006, 352, 24, 4, 猖獗_御风者, 温文儒雅, 16335, 19805, 0, 2019-11-26 17:36:07, Group_3
